"Latitude","Longitude"
"18.516305120538","73.872149727705"
"18.511643580987","73.860327267179"
"18.506361594412","73.868686264158"
"18.511139076195","73.873309154043"
"18.508846234877","73.862067888542"
"18.50911501135","73.864443968367"
"18.51150038948","73.869648631766"
"18.517412976554","73.863332438612"
"18.505051445725","73.863224417977"
"18.515172756122","73.876014436931"
"18.512606166199","73.873532914049"
"18.519814480149","73.86077047876"
"18.509842262206","73.86461132985"
"18.515902745805","73.872307632537"
"18.518575299368","73.866456813797"
"18.505801381221","73.860973788749"
"18.496320122198","73.858663467334"
"18.4992690705","73.853612202743"
"18.496861327573","73.859887634157"
"18.493512101694","73.859121259411"
"18.503207943677","73.853605529786"
"18.497728312061","73.857680452444"
"18.506244532153","73.857764919821"
"18.501775665192","73.854925577186"
"18.509704264432","73.859776707211"
"18.494362484269","73.864321831674"
"18.498547852933","73.86251114229"
"18.495045915066","73.86472081911"
"18.49683151101","73.859694997021"
"18.500159624027","73.805961803996"
"18.512089537169","73.810542454133"
"18.500293196916","73.810760944501"
"18.514150384149","73.806987502152"
"18.504922893491","73.8018104373"
"18.501426073938","73.805463708703"
"18.504892203323","73.809148457072"
"18.514025929062","73.808976611204"
"18.501097433328","73.806386662129"
"18.506468460403","73.816499636885"
"18.508329744381","73.799016215616"
"18.498253860295","73.806065816664"
"18.505660033643","73.801714423938"
"18.513147887158","73.812892615288"
"18.477530225317","73.892253097218"
"18.462884821621","73.890838562213"
"18.467120302099","73.88182994931"
"18.473916935479","73.889475325523"
"18.475833426657","73.892736929808"
"18.467498998074","73.890468529861"
"18.477371239721","73.888445967969"
"18.47763358024","73.887234084368"
"18.471197804323","73.888694789742"
"18.469091220441","73.897964685447"
"18.473931032763","73.884029254607"
"18.469801512493","73.887827492859"
"18.469518070265","73.881786722234"
"18.521882020061","73.850304216249"
"18.518926069374","73.864129396893"
"18.523747576427","73.856840054302"
"18.526177190531","73.851482579087"
"18.516657287659","73.853206396869"
"18.523218826293","73.864136318192"
"18.523251254408","73.848141064821"
"18.526085768584","73.861917021252"
"18.515809368619","73.848616275302"
"18.524395356301","73.849519096723"
"18.569098121948","73.845300141463"
"18.561606926976","73.851100292233"
"18.555480160334","73.855997675225"
"18.563984604362","73.858723865718"
"18.560822528479","73.844487434409"
"18.566216525778","73.844060091652"
"18.562075427159","73.852762235255"
"18.569938546636","73.851529713994"
"18.56319744431","73.860307956108"
"18.555553373251","73.850618030371"
"18.56117530005","73.844175179207"
"18.565032893175","73.849102505276"
"18.558741311581","73.848745381149"
"18.570695235783","73.855303648231"
"18.56070308","73.92377044"
"18.55973301","73.91921703"
"18.56095608","73.91377066"
"18.56675311","73.91913232"
"18.55589737","73.91888311"
"18.57112382","73.91819737"
"18.55879468","73.92353889"
"18.56728569","73.91096894"
"18.55809713","73.92279821"
"18.56392464","73.92216633"
"18.56419065","73.92599906"
